FIPS	Returns Filed	Exemptions	AGI	Total Income	Average Total Income Per Return	State	XLOC	YLOC
AK	361130	668010	24272390	24632357	68209.11306	AK	94	325
AL	2046550	4183770	107936740	109351250	53431.99531	AL	439	270
AR	1223150	2514180	65054335	65877803	53859.13666	AR	368	247
AZ	2845710	5853820	161928643	164292308	57733.32771	AZ	148	241
CA	17411410	35883460	1287368304	1308008137	75123.61934	CA	56	176
CO	2553250	4952480	179600634	182806929	71597.73974	CO	220	183
CT	1749470	3214600	164110851	166816967	95352.85944	CT	576	120
DE	443840	839270	27516019	27852711	62753.94512	DE	556	166
FL	9398940	17489700	570292720	578420055	61540.98813	FL	510	331
GA	4378120	9017470	253487684	257016786	58704.82901	GA	478	267
HI	681840	1289380	39689089	40272776	59064.84806	HI	232	380
IA	1445570	2812010	86096947	87740028	60695.80027	IA	357	147
ID	701990	1497330	36997279	37680497	53676.68628	ID	143	101
IL	6131110	11995730	424188653	430345284	70190.43599	IL	405	168
IN	3078770	6061450	166637525	169001490	54892.53501	IN	437	165
KS	1336450	2668230	83259525	84673327	63356.8985	KS	302	194
KY	1891830	3767890	98331729	99639676	52668.4089	KY	453	203
LA	2007820	4013060	115571432	117251979	58397.65467	LA	371	302
MA	3343720	5982260	285581083	289821951	86676.50132	MA	581	108
MD	2935570	5554290	213549098	216461547	73737.48437	MD	538	162
ME	638290	1151280	34159794	34773964	54479.88219	ME	595	59
MI	4685330	8861300	266767393	270558711	57745.92419	MI	446	120
MN	2687770	5097530	184514005	187697144	69833.78191	MN	339	86
MO	2767380	5318210	156727536	159060738	57477.01364	MO	365	197
MS	1243430	2569050	57992430	58828894	47311.78595	MS	406	274
MT	492000	912340	27178486	27730752	56363.31707	MT	194	61
NC	4380810	8791810	247012395	250671624	57220.38253	NC	519	221
ND	370570	683560	27236634	27802021	75025.01822	ND	283	65
NE	889110	1752920	54867033	55936076	62912.43603	NE	286	151
NH	685030	1226000	47606625	48383228	70629.35638	NH	580	89
NJ	4342630	8319790	353247794	358714152	82602.97377	NJ	561	143
NM	911760	1812520	46264952	46894497	51432.93959	NM	208	245
NV	1321710	2634680	77642876	78626277	59488.29698	NV	102	157
NY	9523850	17503100	754932479	765534068	80380.73552	NY	541	107
OH	5559950	10284530	313149940	317639193	57129.86502	OH	472	160
OK	1639860	3357320	97488903	98799118	60248.5078	OK	309	239
OR	1826560	3526130	109310786	111308064	60938.62999	OR	74	86
PA	6169100	11374560	388883451	394508181	63949.06567	PA	523	144
RI	521890	921950	32511563	32976426	63186.54506	RI	589	117
SC	2124310	4189080	111386099	112933574	53162.47346	SC	506	251
SD	410930	782250	24938776	25542001	62156.57411	SD	286	109
TN	2928370	5816020	161050478	163606103	55869.34131	TN	441	229
TX	11992010	24901050	806504418	816656929	68100.08739	TX	291	299
UT	1221670	2805940	74268005	75315944	61649.99059	UT	154	171
VA	3871690	7526930	279345572	283276070	73165.99986	VA	529	189
VT	322880	566310	18588007	18977373	58775.31281	VT	567	86
WA	3342760	6586080	244055829	247588960	74067.22589	WA	92	38
WI	2811280	5304680	167540416	170206739	60544.21438	WI	392	103
WV	782980	1526910	39461888	39958488	51033.85527	WV	496	178
WY	279950	542460	21658081	21983954	78528.14431	WY	207	125
